データ日付,終値,始値,高値,安値
"2023/02/01","27445.56","27346.88","27696.44","27104.32"
"2023/03/01","28041.48","27516.53","28623.15","26945.67"
"2023/04/01","28856.44","28188.15","28856.44","27472.63"
"2023/05/01","30887.88","29123.18","31328.16","28949.88"
"2023/06/01","33189.04","31148.01","33706.08","31148.01"
"2023/07/01","33172.22","33753.33","33753.33","31943.93"
"2023/08/01","32619.34","33476.58","33476.58","31450.76"
"2023/09/01","31857.62","32710.62","33533.09","31857.62"
"2023/10/01","30858.85","31759.88","32494.66","30526.88"
"2023/11/01","33486.89","31601.65","33625.53","31601.65"
"2023/12/01","33464.17","33431.51","33681.24","32307.86"
"2024/01/01","36286.71","33288.29","36546.95","33288.29"
"2024/02/01","39166.19","36011.46","39239.52","36011.46"
"2024/03/01","40369.44","39910.82","40888.43","38695.97"
"2024/04/01","38405.66","39803.09","39838.91","37068.35"
"2024/05/01","38487.90","38274.05","39103.22","38054.13"
"2024/06/01","39583.08","38923.03","39667.07","38102.44"
"2024/07/01","39101.82","39631.06","42224.02","37667.41"
"2024/08/01","38647.75","38126.33","38647.75","31458.42"
"2024/09/01","37919.55","38700.87","39829.56","35619.77"
"2024/10/01","39081.25","38651.97","39910.55","37808.76"
"2024/11/01","38642.91","38053.67","39533.32","38053.67"
